video,label
Black.Hawk.Down.2001__#00-02-54_00-04-27_label_B4-0-0__0.npy,B4-0-0
Black.Hawk.Down.2001__#00-02-54_00-04-27_label_B4-0-0__1.npy,B4-0-0
Black.Hawk.Down.2001__#00-02-54_00-04-27_label_B4-0-0__2.npy,B4-0-0
Black.Hawk.Down.2001__#00-02-54_00-04-27_label_B4-0-0__3.npy,B4-0-0
Black.Hawk.Down.2001__#00-02-54_00-04-27_label_B4-0-0__4.npy,B4-0-0
Black.Hawk.Down.2001__#00-02-54_00-04-27_label_B4-0-0__5.npy,B4-0-0
Black.Hawk.Down.2001__#00-02-54_00-04-27_label_B4-0-0__6.npy,B4-0-0
Black.Hawk.Down.2001__#00-02-54_00-04-27_label_B4-0-0__7.npy,B4-0-0
Black.Hawk.Down.2001__#00-02-54_00-04-27_label_B4-0-0__8.npy,B4-0-0
Black.Hawk.Down.2001__#00-02-54_00-04-27_label_B4-0-0__9.npy,B4-0-0
Black.Hawk.Down.2001__#01-23-28_01-24-47_label_B4-0-0__0.npy,B4-0-0
Black.Hawk.Down.2001__#01-23-28_01-24-47_label_B4-0-0__1.npy,B4-0-0
Black.Hawk.Down.2001__#01-23-28_01-24-47_label_B4-0-0__2.npy,B4-0-0
Black.Hawk.Down.2001__#01-23-28_01-24-47_label_B4-0-0__3.npy,B4-0-0
Black.Hawk.Down.2001__#01-23-28_01-24-47_label_B4-0-0__4.npy,B4-0-0
Black.Hawk.Down.2001__#01-23-28_01-24-47_label_B4-0-0__5.npy,B4-0-0
Black.Hawk.Down.2001__#01-23-28_01-24-47_label_B4-0-0__6.npy,B4-0-0
Black.Hawk.Down.2001__#01-23-28_01-24-47_label_B4-0-0__7.npy,B4-0-0
Black.Hawk.Down.2001__#01-23-28_01-24-47_label_B4-0-0__8.npy,B4-0-0
Black.Hawk.Down.2001__#01-23-28_01-24-47_label_B4-0-0__9.npy,B4-0-0
Brick.Mansions.2014__#00-00-54_00-01-24_label_B4-0-0__0.npy,B4-0-0
Brick.Mansions.2014__#00-00-54_00-01-24_label_B4-0-0__1.npy,B4-0-0
Brick.Mansions.2014__#00-00-54_00-01-24_label_B4-0-0__2.npy,B4-0-0
Brick.Mansions.2014__#00-00-54_00-01-24_label_B4-0-0__3.npy,B4-0-0
Brick.Mansions.2014__#00-00-54_00-01-24_label_B4-0-0__4.npy,B4-0-0
Brick.Mansions.2014__#00-00-54_00-01-24_label_B4-0-0__5.npy,B4-0-0
Brick.Mansions.2014__#00-00-54_00-01-24_label_B4-0-0__6.npy,B4-0-0
Brick.Mansions.2014__#00-00-54_00-01-24_label_B4-0-0__7.npy,B4-0-0
